Time [s], roll [deg], pitch [deg], yaw [deg], pos_x [m], pos_y [m], pos_z [m], pos_raw_x [m], pos_raw_y [m], pos_raw_z [m], position_initialized [b], position_raw_initialized [b], status 
451.31734,9.110600357275219,-17.18228143707605,60.0084073385649,590710.104692044,6136584.659290821,58.525485752729644,-25.755743505666032,45.08959755580872,-50.2168443744783,False,True,AUTO.LOITER
451.417043,8.186983987911754,-16.202757088699595,60.02561681526273,590710.0956094575,6136584.792688702,58.515484432474025,-25.755743505666032,45.08959755580872,-50.2168443744783,False,True,AUTO.LOITER
451.516907,9.072664536157085,-12.79666677711855,57.80939882727945,590710.0799605183,6136584.9370836485,58.489483157624925,-25.76054726098664,45.323271848261356,-50.2198469815261,False,True,AUTO.LOITER
451.617101,11.081593663851056,-11.178811409993646,55.80500462779783,590710.0711066813,6136585.059354184,58.44948196150942,-25.76054726098664,45.323271848261356,-50.2198469815261,False,True,AUTO.LOITER
451.717269,13.156400470583675,-13.564992881328475,54.83283146452516,590710.0676754551,6136585.226264393,58.40248009920877,-25.7137351592537,45.51347903069109,-50.220850448531976,False,True,AUTO.LOITER
451.81761,14.256329944725382,-15.317452853794698,54.98438477692024,590710.0644729773,6136585.382047254,58.37347836105253,-25.7137351592537,45.51347903069109,-50.220850448531976,False,True,AUTO.LOITER
451.916816,13.078158720669347,-16.694145445707257,57.1100602038381,590710.0612704994,6136585.537830116,58.35747662288762,-25.802757806144655,45.834478391334414,-50.30085184444198,False,True,AUTO.LOITER
452.017004,11.491414394082247,-15.934099459653302,60.07997239336834,590710.0580680214,6136585.693612974,58.36247488471412,-25.802757806144655,45.834478391334414,-50.30085184444198,False,True,AUTO.LOITER
452.116919,9.97399280606312,-16.0255380665252,61.59761042013958,590710.0424190853,6136585.838007921,58.350473609819545,-25.90873451018706,46.05494077131152,-50.271851614352386,False,True,AUTO.LOITER
452.21723,10.885923284033336,-15.87790417804293,61.411913749699615,590710.0267701498,6136585.982402867,58.32147233491776,-25.90873451018706,46.05494077131152,-50.271851614352386,False,True,AUTO.LOITER
452.316949,11.876902399370307,-16.25409100257803,60.71133093871673,590710.017458818,6136586.1269280985,58.28147089044292,-25.90873451018706,46.05494077131152,-50.271851614352386,False,True,AUTO.LOITER
452.417082,12.397073249284203,-18.409885689109892,59.71052087988317,590710.0086049834,6136586.249198632,58.24846969427632,-25.931864827056415,46.25484216585755,-50.36685334033379,False,True,AUTO.LOITER
452.517072,11.676985198887726,-19.721511601353622,59.11600401995565,590710.0086049834,6136586.249198632,58.24846969427632,-25.931864827056415,46.25484216585755,-50.36685334033379,False,True,AUTO.LOITER
452.61712,10.300352410536656,-16.352296829178947,57.83346597834619,590709.9714270115,6136586.515603545,58.22346756230773,-25.967899103532545,46.46561033744365,-50.51985485134763,False,True,AUTO.LOITER
452.717194,10.426659319809417,-16.544377795871245,57.38572595606949,590709.8990357531,6136586.336002584,58.25947158363208,-25.967899103532545,46.46561033744365,-50.51985485134763,False,True,AUTO.LOITER
